job_title,company_name,location,remote_option,tech_stack,experience_years,salary_min,salary_max,currency
"Senior Backend Developer (Java, Golang, SQL, Database)",10X Technology and Consulting,Ho Chi Minh,onsite,"Java, Database, SQL, PostgreSql, MySQL, Golang",5+ years,,,
Senior Product Owner – B2B SaaS (ERP / E-Office),MYMIND,Ho Chi Minh,hybrid,"Product Owner, Product strategy, Product Management",2 years,,,
Security Engineer,CÔNG TY CỔ PHẦN CMC OPENAI,Ha Noi,onsite,"Cloud, Pentest",5 years,,,
Fullstack Dev - AI products,TecAlliance Vietnam,Ho Chi Minh,hybrid,"Fullstack, Cloud Security, NumPy, Pandas, AI, Python",3 years,,,
"Data Engineer (SQL, Agile)",Live Payments,Ho Chi Minh,onsite,"Microsoft SQL Server, Cloud-native Architecture, Python, ETL",,,,
Telecom Business Architect,Huawei,Ha Noi,onsite,"Business Analysis, Data Analysis",7+ years,,,
Cloud Infrastructure Engineer,CÔNG TY CỔ PHẦN NGHIÊN CỨU PHÁT TRIỂN VÀ ỨNG DỤNG NGƯỜI MÁY ĐA NĂNG VINMOTION,Ha Noi,onsite,"CloudFormation, CI/CD, Terraform, AWS",3+ years,,,
"Senior C#/.NET Engineer (ReactJS, English)",HRS Group,Ho Chi Minh,hybrid,".NET, Automation Test, ReactJS, C#, AI, English",6 years,,,
Principal AI/LLM Solution Engineer (Cloud Contract),"MONEY FORWARD VIETNAM CO.,LTD",Ho Chi Minh,hybrid,"AI, LLM, MLOps, Cloud, Python, Golang",2+ years,,,
Senior / Lead AI Engineer (English Speaking),Topicus Vietnam,Ho Chi Minh,hybrid,"Generative AI, English, LLM",,,,
"Automation Tester (Java, Selenium)",CODE88 COMPANY LIMITED,Ho Chi Minh,onsite,"Automation Test, Selenium, Java, Tester, QA QC, English",2 years,,,
"[Middle, Senior] BackEnd Engineer (Java, Go)",MB Bank,Ha Noi,onsite,"Java, Oracle, Golang, Spring Boot, MySQL, AI",02 years,,,
"[Junior, Senior] FullStack Developer",MB Bank,Ha Noi,onsite,"Java, Golang, MongoDB, PostgreSql, Spring Boot, Oracle",,,,
"[Middle, Senior] FullStack Developer",MB Bank,Ha Noi,onsite,"Java, MongoDB, PostgreSql, Microservices, Spring, Oracle",1-2 years,,,
"FullStack Developer (Da Nang, Can Tho, Hybrid)",Dirox,Ho Chi Minh,hybrid,"Java, Angular, ReactJS, English",5+ years,,,
"[Junior, Senior] BackEnd Engineer (Java, Go)",MB Bank,Ha Noi,onsite,"Java, Golang, MongoDB, PostgreSql, Spring Boot, Oracle",,,,
[Telecom] Core Network Engineer,Huawei,Ha Noi,onsite,"Cloud, English",2 years,,,
Cloud Engineer,Huawei,Ha Noi,onsite,"Cloud, English",,,,
"AI Engineer (Generative AI, MLOps, Scikit-learn, Azure)",FPT Digital,Ho Chi Minh,onsite,"Python, AWS CloudFormation, MLOps, LLM, scikit-learn",,,,
"Data Engineer (Python, PowerBI, SnowFlake, DataBrick)",FPT Digital,Ho Chi Minh,onsite,"Data Engineer, Databricks, Snowflake, Python, SQL",3+ years,,,
"Scrum Master (Scrum, Kanban, PSM I/CSM, Cloud, Azure)",FPT Digital,Ho Chi Minh,onsite,"Project Management, MLOps, Azure, Kanban, Scrum",4 years,,,
Middle/Senior Oracle & .NET Backend,CÔNG TY TNHH SẢN XUẤT VINH QUANG,Ha Noi,onsite,"C#, Oracle, SQL, .Net Core, Database, .NET",5 years,,,
Senior Java Developer (Spring/OOP),Nakivo,Ho Chi Minh,onsite,"Java, OOP, Spring",5 years,,,
Manual QA Engineer (QA QC/Tester/English),Nakivo,Ho Chi Minh,onsite,"QA QC, Networking, Linux, Tester, Cloud, English",3+ years,,,
