job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
[REMOTE] Game Designer,"Design, Games",5+ years,Ho Chi Minh,Athena Studio,remote,,,
QA Engineer (Automation/Manual Testing)~Up to $1500,"QA QC, Automation Test, Tester, AI, English",3+ years,Ha Noi,Ewoosoft Vietnam,onsite,,,
Data Platform Engineer,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",3 years,Ho Chi Minh,Home Credit Vietnam,onsite,,,
"Senior System Engineer (Linux, Windows Server, Cloud)","Linux, Terraform, CI/CD, Docker, Cloud, Windows Server",3 years,Ha Noi,One Mount Group,onsite,,,
HTML/Wordpress developer - Japanese Company,"Wordpress, HTML, MySQL, PHP, JavaScript, CSS",02 years,Ha Noi,"Abilive Vietnam Co., Ltd.",onsite,600,1100,USD
"Technical PM (Da Nang, Can Tho, Hybrid)","Project Management, AI, Software Architecture, Stakeholder management, Agile",8+ years,Ho Chi Minh,Dirox,hybrid,,,
"Business Analyst (Da Nang, Can Tho, Hybrid)","Business Analysis, Scrum, Agile, English",5+ years,Ho Chi Minh,Dirox,onsite,,,
"Expert/Senior Monitoring Engineer (Grafana, Prometheus)","DevOps, InfluxDB, Splunk, Prometheus, Grafana, Bridge Engineer",3+ years,Ha Noi,Techcombank,onsite,,,
Mid/Sr DevOps Engineer (Terraform/Kubernetes),"DevOps, Terraform, Kubernetes, Networking, PowerShell",3 years,Ho Chi Minh,Saritasa,onsite,1200,2800,USD
Product Owner,"Product Owner, Product strategy, Agile, Stakeholder management, UI-UX, Product Design",02 years,Ha Noi,MB Life,onsite,,,
Middle System Admin,"System Admin, Networking, Windows, Linux, IT Support",2-3 years,Ha Noi,Thai Son Soft,onsite,,,
Senior Delivery Lead,"Project Management, Team Management, English, ITIL Foundation",8 years,Ha Noi,Techcombank,onsite,,,
"Senior Game Designer (Puzzle, Board Games)","Games, Design",3 years,Ho Chi Minh,ANTADA,onsite,800,1200,USD
Senior Database Administrator,"DBA, PostgreSql, Database, Cloud, Oracle, SQL",6-8 years,Ho Chi Minh,NAB Innovation Centre Vietnam,hybrid,,,
Principal QC Engineer,"Team Management, Agile, QA QC, English, CI/CD, Automation Test",7+ years,Ho Chi Minh,Titan DMS,hybrid,,,
Senior Android Developer (Kotlin / Java),"Android, Mobile Apps, MVVM, OOP, Java, Kotlin",3+ years,Ha Noi,Sigma Solutions,onsite,,,
"Enterprise Architect (Fintech, TOGAF, Cloud)","Enterprise Architecture, .NET, Spring Boot, Event-Driven Architecture, Microservices, TOGAF",8 years,Ha Noi,Mcredit - Công ty Tài chính TNHH MB Shinsei,onsite,1500,3500,USD
"Senior iOS Developer (Swift, Objective-C, OOP)","iOS, Mobile Apps, MVC, OOP, Objective C, Swift",3+ years,Ha Noi,Sigma Solutions,onsite,,,
Fullstack Software Engineer,"Fullstack, Python, SQL, Java, NodeJS, JavaScript",3+ years,Ho Chi Minh,Talosix,hybrid,,,
Mid/ Senior Game developer ( Cocos Creator ),"Games, TypeScript, JavaScript, C#, HTML5, Cocos Creator",,Ho Chi Minh,BinarixTech,onsite,,,
Senior QC Engineer,"JavaScript, Python",7 years,Ho Chi Minh,Vietlink,onsite,1000,1500,USD
Delivery Leader/Delivery Manager,"Project Management, Leadership, Java, Risk Management, Team Management, Agile",5+ years,Ho Chi Minh,Capgemini Vietnam,onsite,,,
Fullstack Developer (Python/VueJS or Angular - 10Y EXP),"Python, PostgreSql, MongoDB, FastAPI, English, VueJS",10 years,Da Nang,LAVEGA,onsite,,,
.NET Developer (Mortgage Systems),".NET, English",3 years,Ho Chi Minh,Topicus Vietnam,hybrid,,,
"Remote Mobile App Developer (Java, Kotlin, Android)","Android, Application Security, Java, API, Android studio, Kotlin",3+ years,Da Nang,"Solventus, LLC",remote,2500,4000,USD
Fullstack Dev - AI products,"Fullstack, Cloud Security, NumPy, Pandas, AI, Python",3 years,Ho Chi Minh,TecAlliance Vietnam,hybrid,,,
Frontend Developer (ReactJS/VueJS/AI),"ReactJS, VueJS, JavaScript, Tailwind, CSS, HTML",,Ho Chi Minh,WTECH VIETNAM,onsite,,,
Solution Architect (AI/Data Platform),"Solution Architecture, Data Engineer, Kubernetes, MLOps, Cloud, Kafka",8 years,Ha Noi,CÔNG TY CỔ PHẦN CMC OPENAI,onsite,,,
AI Engineer (LLM / GenAI / AI Platform),"PyTorch, TensorFlow, NLP, AI, LLM",3 years,Ha Noi,CÔNG TY CỔ PHẦN CMC OPENAI,onsite,1000,1800,USD
Senior Security Engineer (AWS/ GCP/ Azure),"System Architecture, GCP, Cloud Security, System Admin, Networking, AWS",3 years,Ha Noi,CÔNG TY CỔ PHẦN CMC OPENAI,onsite,,,
Fullstack Developer (C/C++/C#/Python/SQL),"C++, C language, Fullstack, SQL, Python, C#",4 years,Others,LG CNS Việt Nam,onsite,,,
Fullstack Developer (C#),"C#, Fullstack",,Others,LG CNS Việt Nam,onsite,,,
"UI-UX Designer (Figma, Adobe XD)","UI-UX, Adobe Photoshop, Design, Figma, Adobe XD",2 years,Ho Chi Minh,10X Technology and Consulting,onsite,,,
Mid-Senior Backend Engineer (Python/Java),"Java, NoSQL, PostgreSql, Spring Boot, Django, Python",4 years,Ha Noi,KALAPA,onsite,750,1900,USD
Network Engineer,"Networking, Hardware Troubleshooting",4 years,Others,LG CNS Việt Nam,onsite,1000,2000,USD
"Senior .Net Developer(C#, ASP.NET Core, Azure)",".NET, AI, VueJS, C#, Azure, ASP.NET",5 years,Ho Chi Minh,Ahasoft,onsite,,,
Senior Laravel Developer,"PHP, DevOps, Agile, SQL",,Ho Chi Minh,KOSATEC EMPOWERING GLOBAL INNOVATION,onsite,1000,3500,USD
IT Support Specialist (US Market),"IT Support, Hardware Troubleshooting, Networking",1-2 years,Ho Chi Minh,Blogic Systems,onsite,600,1200,USD
Senior/Lead Data Engineer,"Python, AWS, Scala, Golang, Apache Spark",7+ years,Ho Chi Minh,Grab (Vietnam) Ltd.,onsite,,,
"Senior Frontend Developer (VueJS, ReactJS, Angular)","VueJS, JavaScript, Angular, ReactJS, AI, TypeScript",5 years,Ho Chi Minh,Ahasoft,onsite,,,
"Senior DevOps Engineer (AWS, Linux, CI/CD)","DevOps, CloudFormation, Terraform, CI/CD, Linux, AWS",5+ years,Ha Noi,TJ Tech,onsite,3500,3500,USD
Android Developer,"Android, Kotlin, Java, SQLite",,Ha Noi,LG CNS Việt Nam,onsite,,,
