job_title,tech_stack,experience_years,location,company_name,remote_option,salary_min,salary_max,currency
FULL-STACK Developer (Web NFT Game),"fullstack developer, game, nghỉ thứ 7, 1 năm k..., fullstack develope...",1,Hà Nội,CÔNG TY TNHH MARKETING METAS GROUP,onsite,,,
Flutter Developer,"mobile developer, it - phần mềm, 2 năm kinh ..., mobile developer, it...",2,Hà Nội,CÔNG TY CỔ PHẦN TINASOFT VIỆT NAM,onsite,20000000,20000000,VND
"Lập Trình Viên Backend Ruby, Node.Js Hoặc Python","backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",2,Hà Nội,CÔNG TY TNHH CÔNG NGHỆ AMCOLAB,onsite,12000000,20000000,VND
Intern Lập Trình Viên (Game – Gamehub Iruka Edu),"frontend developer, it - phần mềm, game, giáo ..., frontend developer",,Hà Nội,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ LIFESTYLE VIỆT NAM,onsite,2000000,3000000,VND
ReactJS Developer (Middle),"frontend developer, it - phần mềm, nghỉ thứ ..., frontend developer",2,Hồ Chí Minh (mới),ATALINK TECHNOLOGY JOINT STOCK COMPANY,onsite,,,
Full Stack Developer (Fresher),"fullstack developer, it - phần mềm, nghỉ thứ..., fullstack develope...",1,Hà Nội,BSS Group,onsite,10000000,14000000,VND
Java Backend,"backend developer, it - phần mềm, nghỉ thứ 7, backend developer, i...",1,Hà Nội,INVIV CLOUD TECHNOLOGY JOINT STOCK COMPANY,onsite,8000000,18000000,VND
Senior Fullstack Developer,"fullstack developer, nghỉ thứ 7, trên 5 năm ..., fullstack develope...",5,Hà Nội,Công ty CP Công nghệ phần mềm và nội dung số OSP,onsite,,,
Nhân Viên Lập Trình Fullstack Developer - Nhận Việc Ngay Tại Q4 HCM,"fullstack developer, it - phần mềm, 1 năm ki..., fullstack develope...",1,Hồ Chí Minh (mới),CÔNG TY TNHH TIN HỌC VI NA,onsite,,,
Shopify Theme Developer,"frontend developer, it - phần mềm, thương mạ..., frontend developer",2,Hà Nội,Công ty TNHH Insights.,onsite,10000000,20000000,VND
Lập Trình Viên Angular (Thu Nhập 15 - 20 Triệu),"software engineer, it - phần mềm, nghỉ thứ 7, software engineer, i...",2,Hà Nội,CÔNG TY CỔ PHẦN ĐẦU TƯ VÀ CÔNG NGHỆ SOLID,onsite,15000000,20000000,VND
Backend Developer,"backend developer, tài chính, ngân hàng, nghỉ ..., backend developer, t...",2,Hồ Chí Minh (mới),Công Ty Tài Chính Tổng hợp Cổ Phần Tín Việt,onsite,,,
